"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Lake Mary Reservoir Inflow","09400910	","Arizona","Streamflow","Coconino","6800","35.12139","-111.59222","150200150204	",,"3-14-2024, 12:19 PM MDT"
"Lake Mead","09421000	","Arizona","Reservoir","Mohave","1220","36.01667","-114.73333","150100051310	",,"3-14-2024, 12:19 PM MDT"
"Lake Minchumina","52O01	","Alaska","Snow Course/Aerial Marker","Yukon-Koyukuk","730","63.88667","-152.3045","190803100511	",,"3-14-2024, 12:19 PM MDT"
"Lake Mohave","09422500	","Arizona","Reservoir","Mohave","650","35.2","-114.56667","150301010217	",,"3-14-2024, 12:19 PM MDT"
"Lake Owyhee","13182500	","Oregon","Reservoir","Malheur","3675","43.64193","-117.24136","170501100702	",,"3-14-2024, 12:19 PM MDT"
"Lake Pend Oreille","12392500	","Idaho","Reservoir","Bonner","2063","48.26217","-116.55504","170102140302	",,"3-14-2024, 12:19 PM MDT"
"Lake Powell","09379900	","Arizona","Reservoir","Coconino","3700","36.93816","-111.4845","140700061008	",,"3-14-2024, 12:19 PM MDT"
"Lake Sakakawea Inflow","06330000	","Montana","Streamflow","Richland","1830","48.10808","-103.71464","101101010303	",,"3-14-2024, 12:19 PM MDT"
"Lake Shannon","12193000	","Washington","Reservoir","Skagit","443","48.54815","-121.74114","171100051007	",,"3-14-2024, 12:19 PM MDT"
"Lake Sherburne","05015500	","Montana","Reservoir","Glacier","4709","48.82879","-113.52262","090400010203	",,"3-14-2024, 12:19 PM MDT"
"Lake Sherburne Inflow","05016000	","Montana","Streamflow","Glacier","4730","48.83026","-113.51732","090400010203	",,"3-14-2024, 12:19 PM MDT"
"Lake Spaulding","SPD	","California","Snow Course/Aerial Marker","Nevada","5200","39.317","-120.642","180201250604	",,"3-14-2024, 12:19 PM MDT"
"Lake Sumner","08108110	","New Mexico","Reservoir","De Baca","4300","34.60831","-104.38905","130600011309	",,"3-14-2024, 12:19 PM MDT"
"Lake Tahoe","10337000	","California","Reservoir","Placer","6220","39.18083","-120.11833","160501010500	",,"3-14-2024, 12:19 PM MDT"
"Lake Tahoe Net Inflow","150017	","California","Streamflow","Placer","6220","39.16729","-120.143","160501010500	",,"3-14-2024, 12:19 PM MDT"
"Lake Thomas A Edison","THE	","California","Snow Course/Aerial Marker","Fresno","7800","37.382","-119.02","180400060102	",,"3-14-2024, 12:19 PM MDT"
"Lake Todatonten","52R01	","Alaska","Snow Course/Aerial Marker","Yukon-Koyukuk","550","66.175","-152.9375","190901041102	",,"3-14-2024, 12:19 PM MDT"
"Lake Yellowstone","5345	","Wyoming","ACIS","Teton","7770","44.55","-110.4","100700010409	",,"3-14-2024, 12:19 PM MDT"
"Lakefork #1","566	","Utah","SNOTEL","Duchesne","10128","40.59709","-110.43316","140600030705	",,"3-14-2024, 12:19 PM MDT"
"Lakefork #3","1116	","Utah","SNOTEL","Duchesne","8464","40.5502","-110.3529","140600030705	",,"3-14-2024, 12:19 PM MDT"
"Lakefork Basin","513	","Utah","SNOTEL","Duchesne","10885","40.73785","-110.62121","140600030601	",,"3-14-2024, 12:19 PM MDT"
"Lakeview","4820	","Montana","ACIS","Beaverhead","6710","44.6","-111.8","100200010105	",,"3-14-2024, 12:19 PM MDT"
"Lakeview Canyon","11E04	","Montana","Snow Course/Aerial Marker","Beaverhead","6930","44.5932","-111.8168","100200010105	",,"3-14-2024, 12:19 PM MDT"
"Lakeview Ridge","568	","Montana","SNOTEL","Beaverhead","7400","44.58907","-111.82498","100200010105	",,"3-14-2024, 12:19 PM MDT"
"Lamance Creek","569	","Nevada","SNOTEL","Humboldt","6395","41.51542","-117.63197","160401090603	",,"3-14-2024, 12:19 PM MDT"
"Lamar R nr Tower Falls, Ynp","06188000	","Wyoming","Streamflow","Park","6000","44.93333","-110.4","100700010608	",,"3-14-2024, 12:19 PM MDT"
"Lambs Canyon","11J41	","Utah","Snow Course/Aerial Marker","Salt Lake","7463","40.71582","-111.62056","160202040302	",,"3-14-2024, 12:19 PM MDT"
"Lamoille #1","15J04	","Nevada","Snow Course/Aerial Marker","Elko","7265","40.65802","-115.43415","160401010607	",,"3-14-2024, 12:19 PM MDT"
"Lamoille #3","570	","Nevada","SNOTEL","Elko","8051","40.6448","-115.3812","160401010607	",,"3-14-2024, 12:19 PM MDT"
"Lamoille #5","15J08	","Nevada","Snow Course/Aerial Marker","Elko","8830","40.60175","-115.37683","160401010607	",,"3-14-2024, 12:19 PM MDT"
"Lamoille Ck nr Lamoille","10316500	","Nevada","Streamflow","Elko","6240","40.69076","-115.477","160401010607	",,"3-14-2024, 12:19 PM MDT"
"Lamoille Upper","1310	","Nevada","SNOTEL","Elko","8993","40.59965","-115.37902","160401010607	",,"3-14-2024, 12:19 PM MDT"
"Lander WSO AP","5390	","Wyoming","ACIS","Fremont","5560","42.81666","-108.73333","100800030210	",,"3-14-2024, 12:19 PM MDT"
"Langford Flat Creek","14G08	","Idaho","Snow Course/Aerial Marker","Twin Falls","5916","42.12867","-114.37557","170402130503	",,"3-14-2024, 12:19 PM MDT"
"Lapland","05K07	","Colorado","Snow Course/Aerial Marker","Grand","9300","39.88837","-105.89031","140100010203	",,"3-14-2024, 12:19 PM MDT"
"Laprele Creek","571	","Wyoming","SNOTEL","Converse","8390","42.43566","-105.86051","101800071201	",,"3-14-2024, 12:19 PM MDT"
"Laramie 2 NW","5435	","Wyoming","ACIS","Albany","7140","41.33333","-105.6","101800100603	",,"3-14-2024, 12:19 PM MDT"
"Laramie FAA Airport","5415	","Wyoming","ACIS","Albany","7270","41.31666","-105.68333","101800100602	",,"3-14-2024, 12:19 PM MDT"
"Laramie R and Pioneer Cnl nr Woods Lndg","06659500	","Wyoming","Streamflow","Albany","7389","41.13803","-105.98084","101800100306	",,"3-14-2024, 12:19 PM MDT"
"Laramie R bl Pioneer Canal nr Woods","06659502	","Wyoming","Streamflow","Albany","7390","41.13833","-105.97972","101800100306	",,"3-14-2024, 12:19 PM MDT"
"Laramie R nr Ft Laramie","06670500	","Wyoming","Streamflow","Goshen","4220","42.2","-104.53333","101800110906	",,"3-14-2024, 12:19 PM MDT"
"Laramie-Poudre Tunnel","06747000	","Colorado","Streamflow","Larimer","9557","40.6761","-105.8469","101800100101	",,"3-14-2024, 12:19 PM MDT"
"Larch Valley","16X14	","Alberta","Snow Course/Aerial Marker","	","7316","51.31667","-116.21667","	",,"3-14-2024, 12:19 PM MDT"
"Lark Valley","49L20	","Alaska","Snow Course/Aerial Marker","Kenai Peninsula","3340","60.50376","-149.23488","190203021005	",,"3-14-2024, 12:19 PM MDT"
"Larkspur Ditch at Marshall Pass","09115000	","Colorado","Streamflow","Saguache","10718","38.3833","-106.25","140200030103	",,"3-14-2024, 12:19 PM MDT"
