NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
VDCA1|02458600       |DE1390A4|BMX|33 32 53   |086 55 33   |VILLAGE CREEK NEAR DOCENA ALABAMA
VGRA1|02458148       |16FF93AC|BMX|33 34 37   |086 43 08   |VILLAGE CREEK AT 86TH ST NORTH AT ROEBUCK AL.
VGTA1|02423110       |DD27E798|BMX|33 39 56   |086 35 32   |CAHABA RIVER NEAR TRUSSVILLE ALA
VINA1|02405500       |17654512|BMX|33 26 51   |086 23 13   |KELLY CREEK NEAR VINCENT AL
WCCA1|02408150       |DD3520EC|BMX|32 53 25   |086 34 45   |WALNUT CREEK ABOVE CLANTON ALA
WDLA1|02414501       |176F5736|BMX|33 07 03   |085 33 35   |TALLAPOOSA RIVER AT ST HWY 22&77 AT WADLEY AL.
WETA1|02411600       |DE13C0D8|BMX|32 32 13   |086 12 32   |COOSA RIVER AT WETUMPKA AL
WTKA1|02411590       |D11CF47C|BMX|32 33 01.97|086 11 44.86|COOSA RIVER AT HWY 14 NEAR WETUMPKA AL
YLWA1|02407514       |DE248796|BMX|33 19 14   |086 29 43   |YELLOWLEAF CREEK NEAR WESTOVER AL
ADAA1|0357586650     |DDAC35E0|HUN|34 43 21   |086 34 30   |FAGAN CREEK AT ADAMS STREET AT HUNTSVILLE AL.
ASCA1|03577225       |173996A4|HUN|34 45 50   |086 56 47   |SWAN CREEK BELOW ATHENS ALA
ATNA1|03576250       |DE2054C4|HUN|34 45 06   |086 49 24   |LIMESTONE CREEK NEAR ATHENS AL
BCBA1|03592500       |16FDC624|HUN|34 39 21   |088 07 21   |BEAR CREEK AT BISHOPAL.
BERA1|03414002       |CE18129C|HUN|36 53 02.6 |085 07 46.7 |CUMBERLAND RIVER AT LONG BOTTOM NEAR ROWENA KY
BGWA1|02400680       |1779C504|HUN|34 26 17   |085 46 02   |BIG WILLS CREEK AT STATE HWY 35 NR FORT PAYNE AL
BLUA1|0357587090     |17DE72E8|HUN|34 47 18   |086 35 55   |WEST FORK PINHOOK CR AT BLUE SPRS RD AT HUNTSVILLE
BNAA1|03586500       |DE13B648|HUN|34 40 12   |087 19 02   |BIG NANCE CREEK AT COURTLAND AL
BSBA1|03575100       |177594E4|HUN|34 44 57   |086 26 48   |FLINT RIVER AT BROWNSBORO AL.
CCFA1|03590000       |1785F316|HUN|34 48 28   |087 42 02   |CYPRESS CREEK NEAR FLORENCE AL
CMNA1|0357587728     |1770A6BE|HUN|34 44 44   |086 34 27   |DALLAS BRANCH AT COLEMAN ST IN HUNTSVILLE AL
CNTA1|03575890       |1770C358|HUN|34 43 39   |086 35 36   |PINHOOK CREEK AT CLINTON AVE. AT HUNTSVILLE AL.
DUGA1|0357526200     |DDABA2B6|HUN|34 42 17   |086 30 44   |BIG COVE CREEK AT DUG HILL ROAD NR HUNTSVILLE AL.
ESFA1|03574100       |DE2631EC|HUN|34 54 36   |086 10 06   |ESTILL FORK AT ESTILLFORK AL
FCFA1|03576500       |17DF56FE|HUN|34 22 23   |086 56 01   |FLINT CREEK NEAR FALKVILLE AL
