usgs_id	  10-85_slope_ftpmi	  upstream_len_mi	  elev_ft	  storage_pct	  lake_area_pct	  forest_pct	  glacier_pct	  infil_index	  mean_precip_in	  2yr_precip_in	  mean_min_jan_temp_f 
09119000	  21.00	  56.00	  9600.00	  0.00	  0.00	  45.00	  -99.00	  -99.00	  19.00	  1.20	  -6.00
09124500	  67.00	  48.00	  10900.00	  0.00	  0.00	  70.00	  -99.00	  -99.00	  24.00	  1.30	  -99.00
09125000	  130.00	  18.00	  9700.00	  0.00	  0.00	  70.00	  -99.00	  -99.00	  22.00	  1.40	  9.00
09127998	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09128500	  250.00	  12.00	  9200.00	  0.00	  0.00	  80.00	  -99.00	  -99.00	  23.00	  1.40	  1.00
09132500	  150.00	  30.00	  8900.00	  0.00	  0.00	  90.00	  -99.00	  -99.00	  25.00	  1.40	  4.00
09134500	  270.00	  13.00	  9700.00	  2.00	  2.00	  50.00	  -99.00	  -99.00	  33.00	  1.60	  8.00
09146200	  130.00	  23.00	  9500.00	  0.00	  0.00	  76.00	  -99.00	  -99.00	  27.00	  1.30	  2.00
09147500	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09165000	  120.00	  20.00	  10600.00	  0.00	  0.00	  70.00	  -99.00	  -99.00	  31.00	  1.90	  4.00
09168100	  84.00	  32.00	  8000.00	  0.00	  0.00	  80.00	  -99.00	  -99.00	  22.00	  1.60	  6.00
09180500	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09188500	  12.70	  63.20	  9320.00	  0.10	  0.10	  43.00	  -99.00	  5.30	  22.00	  1.50	  -6.00
09196500	  355.00	  10.90	  10200.00	  2.40	  2.40	  41.00	  -99.00	  2.50	  23.00	  1.60	  -3.00
09198500	  197.00	  17.60	  10000.00	  4.70	  4.70	  58.00	  -99.00	  3.90	  22.00	  1.60	  -3.00
09199500	  218.00	  15.00	  9460.00	  6.10	  6.10	  57.00	  -99.00	  4.20	  20.00	  1.60	  -3.00
09203000	  183.00	  17.10	  9580.00	  2.80	  2.80	  74.00	  -99.00	  4.60	  22.00	  1.80	  -5.00
09205500	  78.30	  18.60	  8920.00	  0.20	  0.20	  60.00	  -99.00	  5.50	  18.00	  1.70	  -6.00
09210500	  60.20	  28.80	  8160.00	  0.00	  0.00	  34.00	  -99.00	  3.10	  18.00	  1.50	  -4.00
09212500	  158.00	  16.50	  9250.00	  1.20	  1.20	  70.00	  -99.00	  4.70	  20.00	  1.70	  -4.00
09220000	  109.00	  20.00	  10250.00	  2.20	  2.20	  70.00	  -99.00	  -99.00	  20.00	  1.46	  7.00
09223000	  62.50	  22.40	  8380.00	  0.00	  0.00	  69.00	  -99.00	  6.10	  25.00	  1.40	  -5.00
09239500	  54.00	  64.00	  8800.00	  0.00	  0.00	  70.00	  -99.00	  -99.00	  25.00	  1.30	  2.00
09241000	  98.00	  24.00	  9000.00	  1.00	  1.00	  80.00	  -99.00	  -99.00	  37.00	  1.70	  0.00
09245000	  150.00	  8.00	  8400.00	  0.00	  0.00	  70.00	  -99.00	  -99.00	  26.00	  1.30	  -1.00
09250000	  87.00	  16.00	  7800.00	  1.00	  1.00	  70.00	  -99.00	  -99.00	  18.00	  1.40	  4.00
09251000	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09256000	  42.50	  29.80	  7870.00	  0.20	  0.20	  31.00	  -99.00	  4.90	  19.00	  1.30	  3.00
09278500	  172.00	  17.90	  10200.00	  5.00	  5.00	  69.00	  -99.00	  12.00	  32.90	  1.71	  3.00
09299500	  185.00	  23.90	  10370.00	  2.00	  2.00	  80.00	  -99.00	  11.00	  32.10	  1.60	  4.00
09304500	  67.10	  20.00	  8940.00	  0.49	  0.00	  72.00	  -99.00	  -99.00	  29.60	  1.40	  5.00
