OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,FCSTGROUP,NWSID,AREA,DESCRIPT,TVA_NUM
"0","403",LCGM6,-90.8879166666,-90.3712500000,33.1037500000,33.6620833333,FGLYAZMS,LCGM6,549.9625325220,B.SUNFL-R/L.CAL.LNDG,"-999"
"0","404",NAGM6,-89.3587500000,-89.0295833333,31.1412500000,31.3829166666,FGPASMS,NAGM6,181.0687497940,LEAF NR AUGUSTA,"-999"
"0","405",BMCA4,-91.7837500000,-91.2879166666,33.4454166666,34.1656642296,FGLOUALA,BMCA4,339.9669262510,BAYOU MACON/HWY 65,"-999"
"0","406",CLAL1,-93.3920833333,-92.9254166666,31.8287500000,32.7537500000,FGLREDLA,CLAL1,897.4581100730,BLK LAKE B./CLARENCE,"-999"
"0","407",SLNL1,-93.0754166666,-92.8045833333,31.8162500000,32.2787500000,FGLREDLA,SLNL1,230.2176956860,SALINE B/SALINE L.DM,"-999"
"0","408",GVLL1,-90.9212500000,-90.7045833333,30.7329166666,31.0370833333,FGAMCOLA,GVLL1,124.6836402630,AMITE @ GRANGEVILLE,"-999"
"0","409",MONL1,-90.7754166666,-90.5837500000,30.6787500000,30.9579166666,FGAMCOLA,MONL1,134.6290218320,TICKFAW @ MONTPELIER,"-999"
"0","410",AMIL1,-90.6170833333,-90.3212500000,30.7245833333,31.1287500000,FGAMCOLA,AMIL1,202.2885903160,TANGIPAHOA/AMITE,"-999"
"0","411",CAMA4,-93.6754166666,-92.5045833333,33.4704166666,34.2954166666,FGUOUAAR,CAMA4,1977.8950278500,OUACHITA @ CAMDEN,"-999"
"0","412",LILL1,-92.8712500000,-92.5962500000,32.9204166666,33.2370833333,FGLOUALA,LILL1,170.5230640370,L.CORNEY BAYOU/LILLI,"-999"
